"Word","FREQcount","CDcount","FREQlow","CDlow","FREQlemma","SUBTLEXWF","Lg10WF","SUBTLEXCD","Lg10CD","nl","oPE","Npix","OLD20","CN","Freq"
"eps_1",5,1,1,0,0,1,0.0229,0.301,0.0124,5,686.961670172822,719.313725490196,2.95,0,0.0124
"minsk",1989,1,1,0,0,1,0.0229,0.301,0.0124,5,571.855331575817,842.572549019608,1.95,0,0.0124
"54518",2,1,1,1,1,1,0.0229,0.301,0.0124,5,701.265280181787,847.721568627451,2.45,0,0.0124
"50975",2,1,1,1,1,1,0.0229,0.301,0.0124,5,780.392650387452,845.341176470588,2.7,0,0.0124
"50814",2,1,1,1,1,1,0.0229,0.301,0.0124,5,707.970937075599,861.654901960784,2.6,0,0.0124
"54973",4,1,1,1,1,1,0.0229,0.301,0.0124,5,767.649801613719,788.972549019608,2.45,0,0.0124
"54868",6,1,1,1,1,1,0.0229,0.301,0.0124,5,686.412117984359,921.996078431373,2.55,0,0.0124
"54529",8,1,1,1,1,1,0.0229,0.301,0.0124,5,728.205608073922,865.792156862745,2.5,0,0.0124
"30,42",20,1,1,1,1,1,0.0229,0.301,0.0124,5,754.173502338916,722.560784313725,2.7,0,0.0124
"02:23",24,1,1,1,1,1,0.0229,0.301,0.0124,5,741.796840021658,747.321568627451,2.8,0,0.0124
"1,648",32,1,1,1,1,1,0.0229,0.301,0.0124,5,716.48583246789,712.423529411765,2.55,0,0.0124
"6,082",42,1,1,1,1,1,0.0229,0.301,0.0124,5,740.508250561428,785.639215686274,2.85,0,0.0124
"c-133",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,682.906464641085,626.2,2.6,1,0.301
"c-123",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,685.145937741325,644.247058823529,2.55,1,0.301
"byard",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,608.968354059596,877.062745098039,1.95,0,0.301
"butes",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,479.474520455534,809.878431372549,1.8,4,0.301
"busty",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,560.537569124526,827.913725490196,1.9,2,0.301
"busey",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,534.766429668291,846.427450980392,1.95,1,0.301
"bursa",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,481.984251591084,801.156862745098,1.8,4,0.301
"burga",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,536.706228530344,859.247058823529,1.75,5,0.301
"bulah",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,547.410202469399,836.01568627451,1.95,0,0.301
"buijs",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,581.614644191764,781.050980392157,2,0,0.301
"buhle",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,542.730168029185,834.870588235294,1.85,3,0.301
"bu_za",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,593.374555073274,716.741176470588,2.3,0,0.301
"bs'er",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,563.116145181477,673.411764705882,2,0,0.301
"broll",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,617.633971542442,757.713725490196,1.85,1,0.301
"broff",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,589.84351716241,811.133333333333,2,0,0.301
"breeg",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,540.258381487497,867.913725490196,1.95,1,0.301
"brana",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,485.736029966536,819.450980392157,1.6,3,0.301
"brahm",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,570.384707835149,892.580392156863,1.9,0,0.301
"br436",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,635.432570855413,821.929411764706,2.95,0,0.301
"bowse",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,512.758819091239,855.286274509804,1.95,1,0.301
"bourg",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,549.302337141285,855.458823529412,1.95,0,0.301
"botot",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,514.535866641813,800.321568627451,2,0,0.301
"bosko",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,516.716383067486,858.56862745098,1.95,0,0.301
"booke",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,509.590321234876,863,1.9,1,0.301
"booga",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,526.542534551167,892.152941176471,2,0,0.301
"bodin",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,536.995506794841,851.592156862745,1.8,4,0.301
"bocão",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,491.581853203028,848.364705882353,2.15,1,0.301
"boars",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,478.37693925918,808.325490196078,1.8,2,0.301
"bly's",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,677.550304902404,692.878431372549,1.95,1,0.301
"blatz",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,546.73480680638,779.164705882353,1.85,3,0.301
"blahk",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,586.213982016528,871.478431372549,1.85,1,0.301
"bisca",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,498.874916340461,787.509803921569,2,0,0.301
"binot",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,526.723620838104,789.450980392157,1.95,1,0.301
"bimbi",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,622.920459084494,858.392156862745,1.9,1,0.301
"biijf",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,666.978222778473,760.121568627451,2.35,0,0.301
"bi-bi",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,626.874142323294,703.839215686275,2.2,1,0.301
"bhatt",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,529.286785787199,835.749019607843,2,0,0.301
"bezos",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,458.320922429632,816.407843137255,2,0,0.301
"betzy",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,549.217035478746,823.003921568627,2,0,0.301
"betel",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,538.682569523962,797.172549019608,1.95,1,0.301
"berty",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,561.680061069245,813.776470588235,1.75,5,0.301
"berth",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,516.381146646074,824.737254901961,1.75,5,0.301
"benno",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,469.955341339795,845.803921568627,1.75,3,0.301
"benbo",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,498.247584303073,880.337254901961,1.85,2,0.301
"bemis",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,534.709596215127,851.454901960784,1.95,1,0.301
"belém",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,584.140901303934,885.686274509804,2.15,1,0.301
"belen",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,511.698996085532,818.592156862745,1.65,4,0.301
"beier",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,500.733635129018,779.321568627451,1.85,1,0.301
"beets",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,470.454135044692,819.690196078431,1.55,8,0.301
"beers",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,469.404468351396,809.823529411765,1.6,7,0.301
"beder",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,506.601310148323,857.882352941176,1.65,4,0.301
"bc-10",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,638.569073043432,714.823529411765,2.45,1,0.301
"baxil",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,570.401755740775,771.003921568627,1.95,0,0.301
"batou",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,486.762380280315,812.811764705882,1.9,2,0.301
"barny",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,542.357837367631,836.341176470588,1.9,1,0.301
"bambo",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,548.764306446888,926.760784313725,1.8,4,0.301
"bales",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,501.36416265012,812.4,1.6,6,0.301
"bakir",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,542.184606644831,806.117647058824,1.9,2,0.301
"baers",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,467.586894966225,810.96862745098,1.75,3,0.301
"baddy",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,595.41144515751,949.070588235294,1.85,2,0.301
"b-a-d",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,616.394704373374,674.670588235294,2.6,0,0.301
"azaña",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,463.336527041781,819.145098039216,2.55,0,0.301
"aydin",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,602.479766374635,835.976470588235,1.95,1,0.301
"avron",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,512.194940484116,748.16862745098,1.9,1,0.301
"avm's",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,616.502850193948,683.627450980392,2,0,0.301
"av-er",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,558.008622480228,641.537254901961,1.9,1,0.301
"aunty",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,541.908914511934,798.956862745098,1.95,1,0.301
"attac",2,1,0,0,2,0.0457,0.4771,0.0124,0.301,5,500.631113359785,753.552941176471,2.2,0,0.301
"joeri",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,596.066778508597,726.83137254902,1.95,0,0.4771
"jody.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,711.571285028271,723.313725490196,2.5,0,0.4771
"jlmmy",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,776.036709006826,879.352941176471,2.5,0,0.4771
"jinty",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,661.701334114452,760.282352941176,1.85,3,0.4771
"jinny",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,644.19668379801,781.701960784314,1.8,4,0.4771
"ji_li",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,791.759680096575,597.898039215686,2.65,0,0.4771
"janna",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,527.228874745914,800.890196078431,1.8,3,0.4771
"jalta",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,600.929351405569,749.61568627451,1.85,3,0.4771
"jaaaa",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,518.286189296905,797.36862745098,1.95,0,0.4771
"ja-ja",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,667.20223861387,676.301960784314,2,0,0.4771
"j._lo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,785.530711261417,536.627450980392,2.7,0,0.4771
"j-jij",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,804.224296327857,626.670588235294,2.75,0,0.4771
"j&r's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,665.363930089917,633,2.65,0,0.4771
"iáten",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,510.679567544537,777.607843137255,1.95,1,0.4771
"iraki",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,585.927609866944,733.745098039216,1.9,2,0.4771
"ingen",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,543.638462972332,829.733333333333,1.75,2,0.4771
"imani",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,583.49452240833,787.564705882353,1.95,1,0.4771
"ilene",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,545.702264355266,746.219607843137,1.85,2,0.4771
"iinks",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,554.669693499853,759.454901960784,1.95,1,0.4771
"iijkt",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,669.647440506307,730.058823529412,1.95,0,0.4771
"iezen",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,476.766621397314,754.01568627451,1.75,4,0.4771
"i'est",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,592.859507007873,610.905882352941,2.3,0,0.4771
"hôtel",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,560.480247472461,812.529411764706,2.55,0,0.4771
"hynde",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,574.983104767484,898.760784313725,1.95,1,0.4771
"hupla",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,564.064371244197,851.250980392157,2.05,0,0.4771
"hunts",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,478.707583060385,804.341176470588,1.95,1,0.4771
"humpy",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,637.176605508659,943.274509803922,1.85,2,0.4771
"hola.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,571.425468005219,677.250980392157,1.95,1,0.4771
"hogue",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,519.929170328158,875.396078431373,1.95,0,0.4771
"hleld",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,616.20351148155,823.921568627451,1.9,1,0.4771
"hideo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,533.817118916375,840.243137254902,2,0,0.4771
"hi-yo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,638.126076034759,708.282352941176,2.5,1,0.4771
"hi-hi",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,611.085003417392,686.952941176471,2.1,2,0.4771
"hersh",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,490.949752793829,830.376470588235,1.85,0,0.4771
"helo.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,570.171645407823,676.105882352941,1.9,1,0.4771
"heber",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,493.876072040405,843.250980392157,1.75,3,0.4771
"heads",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,476.732229116182,874.533333333333,2,0,0.4771
"havoc",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,494.772011113182,785.733333333333,2.6,0,0.4771
"harmy",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,588.450419407238,873.176470588235,1.9,2,0.4771
"hamad",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,540.910909913988,928.294117647059,1.85,2,0.4771
"hajji",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,664.170337034769,775.588235294118,2.15,1,0.4771
"hajis",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,562.801107767688,783.564705882353,1.95,0,0.4771
"hafiz",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,525.945893359607,781.011764705882,2.25,1,0.4771
"hafez",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,490.556502365545,815.945098039216,2.15,1,0.4771
"h-hoe",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,538.871795418031,754.176470588235,2.45,0,0.4771
"h-hij",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,658.095933746971,709.478431372549,2.8,0,0.4771
"guzzi",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,543.984148625498,775.803921568627,2.25,0,0.4771
