"X1_graph","X8_frantfreqparm","Word","nl","oPE","Npix","OLD20","CN","Freq"
"abats",0.9,"abats",5,471.690214162997,821.980392156863,1.75,1,0.9
"abbés",0.84,"abbés",5,483.105743240892,898.603921568627,1.95,0,0.84
"abcès",5.35,"abcès",5,454.708071976572,844.223529411765,2,1,5.35
"abies",0.1,"abies",5,467.664116742829,804.41568627451,1.9,1,0.1
"aboie",1.23,"aboie",5,484.145882631164,806.203921568627,1.85,1,1.23
"abois",1.9,"abois",5,490.849550320304,801.772549019608,1.7,2,1.9
"aboli",2.42,"aboli",5,577.359600470198,779.254901960784,1.7,1,2.42
"abord",261.06,"abord",5,533.096853981038,856.38431372549,1.7,0,261.06
"about",0.48,"about",5,504.712609811571,812.811764705882,1.75,2,0.48
"aboya",0.68,"aboya",5,546.359486398318,860.317647058824,1.95,1,0.68
"aboyé",0.35,"aboyé",5,548.91603892355,880.988235294118,1.95,1,0.35
"abras",0.03,"abras",5,456.236796527762,812.113725490196,1.6,2,0.03
"abris",4.03,"abris",5,492.43187196127,776.035294117647,1.75,2,4.03
"abusa",0.13,"abusa",5,462.24360049802,830.682352941176,1.7,3,0.13
"abuse",1.58,"abuse",5,449.842393005445,829.537254901961,1.55,3,1.58
"abusé",2.42,"abusé",5,464.800153023251,851.352941176471,1.7,3,2.42
"abyme",0.06,"abyme",5,571.313345714305,910,1.85,2,0.06
"abêti",0.32,"abêti",5,548.013338063142,816.760784313725,1.95,0,0.32
"abîma",0.35,"abîma",5,545.797661526476,866.988235294118,1.9,2,0.35
"abîme",13.23,"abîme",5,533.396454033901,865.843137254902,1.65,3,13.23
"abîmé",2.65,"abîmé",5,548.354214051707,887.658823529412,1.85,2,2.65
"accru",6.39,"accru",5,462.69240517775,734.337254901961,1.85,0,6.39
"accus",0.29,"accus",5,423.774614833516,758.286274509804,1.75,1,0.29
"accès",32.45,"accès",5,421.307330509357,789.878431372549,1.9,2,32.45
"achat",16.06,"achat",5,478.831681377765,801.062745098039,1.85,0,16.06
"aches",0.03,"aches",5,429.386456051025,814,1.5,2,0.03
"acide",34.77,"acide",5,470.663092878158,798.129411764706,1.7,3,34.77
"acier",31.61,"acier",5,476.663286243904,726.121568627451,1.9,1,31.61
"acnés",0.06,"acnés",5,419.046539935589,809.725490196078,1.9,1,0.06
"acres",0.23,"acres",5,415.149002914396,756.623529411765,1.45,5,0.23
"acron",0.06,"acron",5,448.099032475706,761.317647058824,1.9,0,0.06
"actes",38.84,"actes",5,422.74639595462,766.490196078431,1.7,3,38.84
"actif",14.94,"actif",5,533.56664927766,735.749019607843,1.95,0,14.94
"acéré",0.65,"acéré",5,460.146352829886,804.686274509804,1.65,1,0.65
