"time","stim","cond","vp","lex_cond","err","freq","ope","group_num","npix","lex_num"
658.1,"Abort","40%","AE0909","W",1,0.602059991,436,1,677.23921568627,1
600.04,"Abruf","20%","AE0909","W",1,1.477121255,459,1,686.57254901961,1
629.06,"Achse","20%","AE0909","W",0,1.602059991,382,1,694.43529411765,1
515.73,"Achte","0%","AE0909","W",0,2.322219295,395,1,683.21960784314,1
563.9,"Adler","0%","AE0909","W",0,2.225309282,454,1,678.20392156863,1
574.6,"Akten","0%","AE0909","W",0,2.710963119,420,1,696.81568627451,1
555.52,"Alarm","0%","AE0909","W",0,2.832508913,492,1,681.79215686275,1
643.96,"Alben","20%","AE0909","W",0,1.579783597,438,1,699.36862745098,1
699.33,"Algen","20%","AE0909","W",0,1.491361694,462,1,712.50588235294,1
506.14,"Aller","20%","AE0909","W",1,1.633468456,477,1,621.01568627451,1
575.53,"Alter","0%","AE0909","W",0,3.546912643,446,1,628.06666666667,1
690.37,"Annie","0%","AE0909","W",0,2.561101384,396,1,665.43921568627,1
1092.11,"Apoll","40%","AE0909","W",1,0.698970004,524,1,683.92156862745,1
717.5,"Arges","40%","AE0909","W",0,1,432,1,704.63137254902,1
862.91,"Argon","40%","AE0909","W",0,0.77815125,444,1,708.05882352941,1
723.11,"Argus","40%","AE0909","W",0,0.903089987,443,1,696.31764705882,1
554.99,"Armen","0%","AE0909","W",0,2.831869774,436,1,706.61960784314,1
797.95,"Arroy","40%","AE0909","PW",0,0,479,0.5,653.03529411765,0
498.81,"Asche","0%","AE0909","W",0,2.604226053,387,1,694.43529411765,1
757.91,"Äther","20%","AE0909","W",0,1.414973348,441,1,693.16470588235,1
602.58,"Auges","20%","AE0909","W",0,1.414973348,413,1,720.49019607843,1
635.83,"Autor","0%","AE0909","W",0,2.627365857,409,1,639.47843137255,1
557.87,"Baraf","0%","AE0909","PW",1,0,378,0.5,684.85882352941,0
738.53,"Baska","40%","AE0909","PW",0,0,360,0.5,725.48235294118,0
572.51,"Bauch","0%","AE0909","W",0,2.898725182,346,1,710.13333333333,1
755.85,"Bavar","0%","AE0909","PW",0,0,371,0.5,660.63921568627,0
589.08,"Bbnds","20%","AE0909","CS",0,0,383,0,771.66666666667,0
657.71,"Bdngd","20%","AE0909","CS",0,0,438,0,823.72549019608,0
703.68,"Benes","0%","AE0909","PW",0,0,317,0.5,707.79607843137,0
596.07,"Besen","0%","AE0909","W",0,2.049218023,326,1,707.79607843137,1
605.16,"Beten","0%","AE0909","W",0,2.133538908,333,1,696.58039215686,1
649.02,"Bette","20%","AE0909","W",1,1.698970004,343,1,678.89803921569,1
541.85,"Bfngt","0%","AE0909","CS",0,0,430,0,738.05882352941,0
811.59,"Bicki","40%","AE0909","PW",0,0,438,0.5,657.15294117647,0
664.85,"Birki","20%","AE0909","PW",0,0,446,0.5,647.56470588235,0
528.2,"Bitte","0%","AE0909","W",0,4.222898473,381,1,649.68235294118,1
589.15,"Bitty","0%","AE0909","PW",0,0,460,0.5,663.38431372549,0
744.75,"Bjmrn","40%","AE0909","CS",0,0,477,0,715.27450980392,0
484.5,"Bktln","0%","AE0909","CS",0,0,432,0,693.65882352941,0
524.43,"Bllng","20%","AE0909","CS",0,0,476,0,709.34901960784,0
671.97,"Blmst","20%","AE0909","CS",0,0,442,0,705.45490196078,0
726.72,"Bloos","40%","AE0909","PW",0,0,388,0.5,676.98431372549,0
692.27,"Blxss","40%","AE0909","CS",0,0,397,0,668.82745098039,0
823.93,"Bmrgg","20%","AE0909","CS",0,0,489,0,809.42745098039,0
494.23,"Bnntb","0%","AE0909","CS",0,0,374,0,727.99607843137,0
744.48,"Bölls","20%","AE0909","PW",0,0,433,0.5,676.8,0
726.93,"Börnd","20%","AE0909","PW",0,0,395,0.5,739.04705882353,0
529.07,"Böses","0%","AE0909","W",0,2.418301291,343,1,717.83137254902,1
1863.21,"Boton","40%","AE0909","PW",0,0,349,0.5,690.50196078431,0
604.17,"Brott","0%","AE0909","PW",0,0,388,0.5,651.6862745098,0
578.22,"Brtth","0%","AE0909","CS",0,0,400,0,677.52549019608,0
753.02,"Buben","20%","AE0909","W",0,1.812913357,351,1,733.42745098039,1
742.65,"Bytes","20%","AE0909","W",1,1.204119983,409,1,703.81568627451,1
818.49,"Canon","40%","AE0909","W",1,0.698970004,362,1,665.13333333333,1
815.61,"Cello","20%","AE0909","W",0,1.579783597,453,1,615.76078431373,1
512.34,"Chaos","0%","AE0909","W",0,2.84260924,388,1,679.49803921569,1
524.02,"Chips","0%","AE0909","W",0,2.471291711,453,1,695.18823529412,1
666.63,"Cisci","20%","AE0909","PW",0,0,442,0.5,586.81568627451,0
478.43,"Cjmbc","0%","AE0909","CS",0,0,514,0,706.34509803922,0
724.32,"Cörlö","20%","AE0909","PW",0,0,458,0.5,650.39607843137,0
656.6,"Crgbr","20%","AE0909","CS",0,0,474,0,688.01568627451,0
516.48,"Csrpq","20%","AE0909","CS",0,0,469,0,718.69019607843,0
860.74,"Dahin","20%","AE0909","W",0,1.903089987,386,1,690.3137254902,1
791.86,"Damms","40%","AE0909","W",1,0.698970004,428,1,765.52549019608,1
654.03,"Demut","20%","AE0909","W",0,1.698970004,406,1,708.93333333333,1
496.15,"Dgmlt","0%","AE0909","CS",0,0,501,0,737.06666666667,0
765.13,"Dinin","40%","AE0909","PW",0,0,410,0.5,640.36078431373,0
547.04,"Dkckk","0%","AE0909","CS",0,0,461,0,739.8,0
780.71,"Dolly","20%","AE0909","W",0,1.995635195,507,1,659.98823529412,1
801.69,"Doofe","40%","AE0909","W",1,0.954242509,383,1,687.67058823529,1
508.73,"Döösö","0%","AE0909","PW",1,0,401,0.5,739.86274509804,0
1397.65,"Dörms","40%","AE0909","PW",0,0,418,0.5,720.79215686275,0
614.1,"Dpggb","20%","AE0909","CS",0,0,505,0,851.2431372549,0
613.13,"Dqbgt","20%","AE0909","CS",0,0,470,0,792.43137254902,0
634.97,"Drauf","20%","AE0909","W",0,1.431363764,418,1,661.16862745098,1
813.73,"Drift","40%","AE0909","W",0,1,448,1,624.64705882353,1
522.44,"Drntd","0%","AE0909","CS",0,0,420,0,691.36078431373,0
715.17,"Dzcht","20%","AE0909","CS",0,0,384,0,670.86274509804,0
659.2,"Eigen","20%","AE0909","W",0,1.230448921,402,1,717.25882352941,1
462.01,"Eisen","0%","AE0909","W",0,2.352182518,361,1,670.17647058824,1
1065.38,"Eises","40%","AE0909","W",1,0.84509804,358,1,663.70980392157,1
