"vp","script","readability","ope_norm"
1,1,5,1.36938430646069
2,1,4,1.36938430646069
3,1,3,1.36938430646069
4,1,4,1.36938430646069
5,1,3,1.36938430646069
6,1,4,1.36938430646069
7,1,4,1.36938430646069
8,1,3,1.36938430646069
9,1,3,1.36938430646069
10,1,3,1.36938430646069
11,1,4,1.36938430646069
12,1,5,1.36938430646069
13,1,4,1.36938430646069
14,1,3,1.36938430646069
15,1,4,1.36938430646069
16,1,3,1.36938430646069
17,1,4,1.36938430646069
18,1,4,1.36938430646069
19,1,3,1.36938430646069
20,1,2,1.36938430646069
21,1,5,1.36938430646069
22,1,4,1.36938430646069
23,1,4,1.36938430646069
24,1,4,1.36938430646069
25,1,5,1.36938430646069
26,1,3,1.36938430646069
27,1,5,1.36938430646069
28,1,5,1.36938430646069
29,1,5,1.36938430646069
30,1,4,1.36938430646069
31,1,3,1.36938430646069
32,1,3,1.36938430646069
33,1,3,1.36938430646069
34,1,2,1.36938430646069
35,1,3,1.36938430646069
36,1,4,1.36938430646069
37,1,3,1.36938430646069
38,1,3,1.36938430646069
1,2,5,1.47656411904724
2,2,3,1.47656411904724
3,2,3,1.47656411904724
4,2,5,1.47656411904724
5,2,4,1.47656411904724
6,2,3,1.47656411904724
7,2,2,1.47656411904724
8,2,5,1.47656411904724
9,2,2,1.47656411904724
10,2,3,1.47656411904724
11,2,4,1.47656411904724
12,2,5,1.47656411904724
13,2,4,1.47656411904724
14,2,4,1.47656411904724
15,2,3,1.47656411904724
16,2,4,1.47656411904724
17,2,5,1.47656411904724
18,2,3,1.47656411904724
19,2,3,1.47656411904724
20,2,3,1.47656411904724
21,2,5,1.47656411904724
22,2,4,1.47656411904724
23,2,5,1.47656411904724
24,2,3,1.47656411904724
25,2,4,1.47656411904724
26,2,3,1.47656411904724
27,2,4,1.47656411904724
28,2,3,1.47656411904724
29,2,3,1.47656411904724
30,2,3,1.47656411904724
31,2,2,1.47656411904724
32,2,3,1.47656411904724
33,2,2,1.47656411904724
34,2,2,1.47656411904724
35,2,3,1.47656411904724
36,2,4,1.47656411904724
37,2,3,1.47656411904724
38,2,2,1.47656411904724
1,3,2,1.43534120091507
2,3,2,1.43534120091507
3,3,2,1.43534120091507
4,3,2,1.43534120091507
5,3,2,1.43534120091507
6,3,2,1.43534120091507
7,3,2,1.43534120091507
8,3,2,1.43534120091507
9,3,1,1.43534120091507
10,3,2,1.43534120091507
11,3,3,1.43534120091507
12,3,2,1.43534120091507
13,3,3,1.43534120091507
14,3,2,1.43534120091507
15,3,2,1.43534120091507
16,3,3,1.43534120091507
17,3,3,1.43534120091507
18,3,2,1.43534120091507
19,3,2,1.43534120091507
20,3,2,1.43534120091507
21,3,3,1.43534120091507
22,3,3,1.43534120091507
23,3,2,1.43534120091507
24,3,2,1.43534120091507
25,3,3,1.43534120091507
26,3,2,1.43534120091507
27,3,3,1.43534120091507
28,3,2,1.43534120091507
29,3,3,1.43534120091507
30,3,2,1.43534120091507
31,3,1,1.43534120091507
32,3,1,1.43534120091507
33,3,1,1.43534120091507
34,3,1,1.43534120091507
35,3,2,1.43534120091507
36,3,2,1.43534120091507
37,3,2,1.43534120091507
38,3,2,1.43534120091507
1,4,5,1.46115873859344
2,4,2,1.46115873859344
3,4,4,1.46115873859344
4,4,5,1.46115873859344
5,4,2,1.46115873859344
6,4,4,1.46115873859344
7,4,5,1.46115873859344
8,4,5,1.46115873859344
9,4,6,1.46115873859344
10,4,4,1.46115873859344
11,4,5,1.46115873859344
12,4,5,1.46115873859344
13,4,5,1.46115873859344
14,4,5,1.46115873859344
15,4,6,1.46115873859344
16,4,4,1.46115873859344
17,4,4,1.46115873859344
18,4,3,1.46115873859344
19,4,4,1.46115873859344
20,4,6,1.46115873859344
21,4,5,1.46115873859344
22,4,4,1.46115873859344
23,4,5,1.46115873859344
24,4,4,1.46115873859344
25,4,4,1.46115873859344
26,4,5,1.46115873859344
27,4,4,1.46115873859344
28,4,5,1.46115873859344
29,4,4,1.46115873859344
30,4,5,1.46115873859344
31,4,4,1.46115873859344
32,4,4,1.46115873859344
33,4,3,1.46115873859344
34,4,4,1.46115873859344
35,4,4,1.46115873859344
36,4,5,1.46115873859344
37,4,3,1.46115873859344
38,4,4,1.46115873859344
1,5,2,1.45264848543253
2,5,1,1.45264848543253
3,5,1,1.45264848543253
4,5,1,1.45264848543253
5,5,1,1.45264848543253
6,5,1,1.45264848543253
7,5,1,1.45264848543253
8,5,3,1.45264848543253
9,5,2,1.45264848543253
10,5,1,1.45264848543253
11,5,2,1.45264848543253
12,5,2,1.45264848543253
13,5,2,1.45264848543253
14,5,2,1.45264848543253
15,5,2,1.45264848543253
16,5,2,1.45264848543253
17,5,3,1.45264848543253
18,5,1,1.45264848543253
19,5,2,1.45264848543253
20,5,1,1.45264848543253
21,5,2,1.45264848543253
22,5,2,1.45264848543253
23,5,1,1.45264848543253
24,5,2,1.45264848543253
25,5,2,1.45264848543253
26,5,1,1.45264848543253
27,5,2,1.45264848543253
28,5,2,1.45264848543253
29,5,2,1.45264848543253
30,5,1,1.45264848543253
31,5,2,1.45264848543253
32,5,1,1.45264848543253
33,5,1,1.45264848543253
34,5,1,1.45264848543253
35,5,2,1.45264848543253
36,5,2,1.45264848543253
37,5,1,1.45264848543253
38,5,2,1.45264848543253
1,6,1,1.51641875292681
2,6,2,1.51641875292681
3,6,1,1.51641875292681
4,6,1,1.51641875292681
5,6,3,1.51641875292681
6,6,1,1.51641875292681
7,6,2,1.51641875292681
8,6,2,1.51641875292681
9,6,1,1.51641875292681
10,6,1,1.51641875292681
11,6,2,1.51641875292681
12,6,1,1.51641875292681
13,6,2,1.51641875292681
14,6,1,1.51641875292681
15,6,2,1.51641875292681
16,6,2,1.51641875292681
17,6,3,1.51641875292681
18,6,1,1.51641875292681
19,6,1,1.51641875292681
20,6,2,1.51641875292681
21,6,2,1.51641875292681
22,6,1,1.51641875292681
23,6,1,1.51641875292681
24,6,1,1.51641875292681
25,6,3,1.51641875292681
26,6,2,1.51641875292681
27,6,1,1.51641875292681
28,6,1,1.51641875292681
29,6,2,1.51641875292681
30,6,1,1.51641875292681
31,6,1,1.51641875292681
32,6,1,1.51641875292681
33,6,1,1.51641875292681
34,6,1,1.51641875292681
35,6,2,1.51641875292681
36,6,1,1.51641875292681
37,6,1,1.51641875292681
38,6,1,1.51641875292681
1,7,3,1.49984960662089
2,7,2,1.49984960662089
3,7,2,1.49984960662089
4,7,4,1.49984960662089
5,7,2,1.49984960662089
6,7,3,1.49984960662089
7,7,1,1.49984960662089
8,7,3,1.49984960662089
9,7,2,1.49984960662089
10,7,2,1.49984960662089
11,7,3,1.49984960662089
12,7,2,1.49984960662089
13,7,4,1.49984960662089
14,7,2,1.49984960662089
15,7,2,1.49984960662089
16,7,3,1.49984960662089
17,7,2,1.49984960662089
18,7,2,1.49984960662089
19,7,2,1.49984960662089
20,7,4,1.49984960662089
21,7,4,1.49984960662089
22,7,2,1.49984960662089
23,7,2,1.49984960662089
24,7,2,1.49984960662089
25,7,3,1.49984960662089
26,7,2,1.49984960662089
27,7,2,1.49984960662089
28,7,3,1.49984960662089
29,7,3,1.49984960662089
30,7,3,1.49984960662089
31,7,2,1.49984960662089
32,7,2,1.49984960662089
33,7,1,1.49984960662089
34,7,2,1.49984960662089
35,7,3,1.49984960662089
36,7,2,1.49984960662089
37,7,2,1.49984960662089
38,7,3,1.49984960662089
1,8,2,1.50182653606894
2,8,2,1.50182653606894
3,8,2,1.50182653606894
4,8,3,1.50182653606894
5,8,4,1.50182653606894
6,8,3,1.50182653606894
7,8,3,1.50182653606894
8,8,3,1.50182653606894
9,8,2,1.50182653606894
10,8,2,1.50182653606894
11,8,3,1.50182653606894
12,8,3,1.50182653606894
13,8,4,1.50182653606894
14,8,5,1.50182653606894
15,8,3,1.50182653606894
16,8,3,1.50182653606894
17,8,3,1.50182653606894
18,8,4,1.50182653606894
19,8,3,1.50182653606894
20,8,4,1.50182653606894
21,8,3,1.50182653606894
22,8,3,1.50182653606894
23,8,1,1.50182653606894
24,8,2,1.50182653606894
25,8,3,1.50182653606894
26,8,2,1.50182653606894
27,8,3,1.50182653606894
28,8,3,1.50182653606894
29,8,2,1.50182653606894
30,8,2,1.50182653606894
31,8,2,1.50182653606894
32,8,1,1.50182653606894
33,8,2,1.50182653606894
34,8,3,1.50182653606894
35,8,3,1.50182653606894
36,8,3,1.50182653606894
37,8,2,1.50182653606894
38,8,2,1.50182653606894
1,9,2,1.55158890733994
2,9,2,1.55158890733994
3,9,2,1.55158890733994
4,9,2,1.55158890733994
5,9,4,1.55158890733994
6,9,1,1.55158890733994
7,9,3,1.55158890733994
8,9,3,1.55158890733994
9,9,1,1.55158890733994
10,9,1,1.55158890733994
11,9,4,1.55158890733994
12,9,2,1.55158890733994
13,9,5,1.55158890733994
14,9,2,1.55158890733994
15,9,1,1.55158890733994
16,9,3,1.55158890733994
17,9,3,1.55158890733994
18,9,1,1.55158890733994
19,9,2,1.55158890733994
20,9,1,1.55158890733994
21,9,4,1.55158890733994
22,9,2,1.55158890733994
23,9,3,1.55158890733994
24,9,2,1.55158890733994
25,9,3,1.55158890733994
26,9,2,1.55158890733994
27,9,2,1.55158890733994
28,9,3,1.55158890733994
29,9,3,1.55158890733994
30,9,2,1.55158890733994
31,9,2,1.55158890733994
32,9,2,1.55158890733994
33,9,1,1.55158890733994
34,9,3,1.55158890733994
35,9,4,1.55158890733994
36,9,3,1.55158890733994
37,9,3,1.55158890733994
38,9,3,1.55158890733994
1,10,2,1.58613537814564
2,10,2,1.58613537814564
3,10,2,1.58613537814564
4,10,3,1.58613537814564
5,10,2,1.58613537814564
6,10,2,1.58613537814564
7,10,2,1.58613537814564
8,10,2,1.58613537814564
9,10,1,1.58613537814564
10,10,1,1.58613537814564
11,10,3,1.58613537814564
12,10,2,1.58613537814564
13,10,4,1.58613537814564
14,10,2,1.58613537814564
15,10,2,1.58613537814564
16,10,3,1.58613537814564
17,10,3,1.58613537814564
18,10,2,1.58613537814564
19,10,2,1.58613537814564
20,10,2,1.58613537814564
21,10,2,1.58613537814564
22,10,3,1.58613537814564
23,10,2,1.58613537814564
24,10,2,1.58613537814564
25,10,3,1.58613537814564
26,10,2,1.58613537814564
27,10,2,1.58613537814564
28,10,3,1.58613537814564
29,10,3,1.58613537814564
30,10,1,1.58613537814564
31,10,2,1.58613537814564
32,10,2,1.58613537814564
33,10,2,1.58613537814564
34,10,2,1.58613537814564
35,10,3,1.58613537814564
36,10,3,1.58613537814564
37,10,3,1.58613537814564
38,10,2,1.58613537814564
