"string" "category"
"Bcckt" "Consonant string"
"Bdhnf" "Consonant string"
"Bgrkq" "Consonant string"
"Bgtts" "Consonant string"
"Bhrps" "Consonant string"
"Bhthl" "Consonant string"
"Bljts" "Consonant string"
"Bllly" "Consonant string"
"Bllsd" "Consonant string"
"Bmlll" "Consonant string"
"Bqnhs" "Consonant string"
"Brktp" "Consonant string"
"Brntq" "Consonant string"
"Brxgr" "Consonant string"
"Bsmgt" "Consonant string"
"Bvdct" "Consonant string"
"Bvrnx" "Consonant string"
"Bvßxn" "Consonant string"
"Ccvjr" "Consonant string"
"Chlbr" "Consonant string"
"Chqrb" "Consonant string"
"Cmmfs" "Consonant string"
"Cptck" "Consonant string"
"Crdcr" "Consonant string"
"Crjnc" "Consonant string"
"Dbhsr" "Consonant string"
"Dffnp" "Consonant string"
"Dgrks" "Consonant string"
"Dhndy" "Consonant string"
"Dhshn" "Consonant string"
"Djmkn" "Consonant string"
"Dkrhs" "Consonant string"
"Dlbls" "Consonant string"
"Dlhnl" "Consonant string"
"Dljng" "Consonant string"
"Dlvqn" "Consonant string"
"Dmltl" "Consonant string"
"Dmmkr" "Consonant string"
"Dmnkm" "Consonant string"
"Drbtt" "Consonant string"
"Drlds" "Consonant string"
"Drrch" "Consonant string"
"Drrgr" "Consonant string"
"Drxtt" "Consonant string"
"Dsckz" "Consonant string"
"Dsßqn" "Consonant string"
"Dtvzs" "Consonant string"
"Dxmls" "Consonant string"
"Dxxfh" "Consonant string"
"Dzvrr" "Consonant string"
"Dzzmn" "Consonant string"
"Fcnkl" "Consonant string"
"Fgzns" "Consonant string"
"Fhlkx" "Consonant string"
"Fhrhn" "Consonant string"
"Fhrsm" "Consonant string"
"Fjqrf" "Consonant string"
"Fkckt" "Consonant string"
"Fkhrt" "Consonant string"
"Fldfl" "Consonant string"
"Flfvd" "Consonant string"
"Fllms" "Consonant string"
"Flshb" "Consonant string"
"Fnlls" "Consonant string"
"Fnrmt" "Consonant string"
"Fnyfr" "Consonant string"
"Fpnds" "Consonant string"
"Frdkv" "Consonant string"
"Frfhb" "Consonant string"
"Frqck" "Consonant string"
"Frsst" "Consonant string"
"Frzhq" "Consonant string"
"Fsgsn" "Consonant string"
"Fshcg" "Consonant string"
"Fslbt" "Consonant string"
"Ftgtn" "Consonant string"
"Ftlkk" "Consonant string"
"Fvhrg" "Consonant string"
"Fxkns" "Consonant string"
"Fzchs" "Consonant string"
"Fzhld" "Consonant string"
"Gbstd" "Consonant string"
"Gdnrm" "Consonant string"
"Gdrkl" "Consonant string"
"Gfcßc" "Consonant string"
"Ggcht" "Consonant string"
"Gggln" "Consonant string"
"Gjtnn" "Consonant string"
"Glxjs" "Consonant string"
"Grbnd" "Consonant string"
"Grdch" "Consonant string"
"Grfmm" "Consonant string"
"Grgxn" "Consonant string"
"Grjtj" "Consonant string"
"Grlnr" "Consonant string"
"Gsglb" "Consonant string"
"Gtrts" "Consonant string"
"Gvngs" "Consonant string"
"Gvrtg" "Consonant string"
"Gzckr" "Consonant string"
"Gztzm" "Consonant string"
"Hblhs" "Consonant string"
"Hbrst" "Consonant string"
"Hcrtx" "Consonant string"
"Hgbgn" "Consonant string"
"Hggvl" "Consonant string"
"Hhmhs" "Consonant string"
"Hhmtd" "Consonant string"
"Hkstl" "Consonant string"
"Hktzg" "Consonant string"
"Hnbby" "Consonant string"
"Hnnhg" "Consonant string"
"Hpcks" "Consonant string"
"Hpckt" "Consonant string"
"Hpmgn" "Consonant string"
"Hpnry" "Consonant string"
"Hqjlq" "Consonant string"
"Hqnsx" "Consonant string"
"Hrllt" "Consonant string"
"Hrmzr" "Consonant string"
"Hsjlt" "Consonant string"
"Hsttz" "Consonant string"
"Htbtp" "Consonant string"
"Htfkn" "Consonant string"
"Htnbn" "Consonant string"
"Hvnhb" "Consonant string"
"Hvrts" "Consonant string"
"Hvxvn" "Consonant string"
"Hxfms" "Consonant string"
"Hymnv" "Consonant string"
"Hzkrz" "Consonant string"
"Jcrys" "Consonant string"
"Jhntz" "Consonant string"
"Jhrln" "Consonant string"
"Jjxlt" "Consonant string"
"Jngjr" "Consonant string"
"Jrgll" "Consonant string"
"Jschj" "Consonant string"
"Jtllx" "Consonant string"
"Jxdrs" "Consonant string"
"Kblqs" "Consonant string"
"Kcrfc" "Consonant string"
"Kcstp" "Consonant string"
"Kfckt" "Consonant string"
"Kfrls" "Consonant string"
"Kgmmc" "Consonant string"
"Khkns" "Consonant string"
"Khmhr" "Consonant string"
"Kldbd" "Consonant string"
"Klfpp" "Consonant string"
"Klgßb" "Consonant string"
"Kljrl" "Consonant string"
"Klntd" "Consonant string"
"Klqgd" "Consonant string"
"Kmgml" "Consonant string"
"Knmst" "Consonant string"
"Krdnt" "Consonant string"
"Krgtc" "Consonant string"
"Krkmb" "Consonant string"
"Krlth" "Consonant string"
"Krmns" "Consonant string"
"Krnns" "Consonant string"
"Krnss" "Consonant string"
"Krntj" "Consonant string"
"Krtht" "Consonant string"
"Krvtn" "Consonant string"
"Kshlm" "Consonant string"
"Kstzt" "Consonant string"
"Kvrls" "Consonant string"
"Kzbrl" "Consonant string"
"Kzchp" "Consonant string"
"Kzntn" "Consonant string"
"Lbbst" "Consonant string"
"Lbmpb" "Consonant string"
"Lcfnc" "Consonant string"
"Lcftc" "Consonant string"
"Lhsts" "Consonant string"
"Ljngs" "Consonant string"
"Lkgln" "Consonant string"
"Lkljg" "Consonant string"
"Lltst" "Consonant string"
"Lnsbl" "Consonant string"
