"Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","nl","oPE","Npix","OLD20","CN","Freq"
"there",221754,8355,154266,8333,4348.12,5.3459,99.61,3.922,5,508.506215579853,787.298039215686,1.6,5,3.922
"about",185206,8321,179962,8313,3631.49,5.2677,99.2,3.9202,5,519.236755394151,812.811764705882,1.85,0,3.9202
"right",204428,8320,181467,8310,4008.39,5.3105,99.19,3.9202,5,600.958603373505,806.023529411765,1.2,10,3.9202
"think",137261,8301,132601,8297,2691.39,5.1376,98.96,3.9192,5,564.387000159628,809.301960784314,1.65,5,3.9192
"would",90162,8268,78316,8225,1767.88,4.955,98.57,3.9175,5,598.630364886795,829.145098039216,1.75,4,3.9175
"Where",93341,8260,45811,7925,1830.22,4.9701,98.47,3.917,5,534.438192061084,855.647058823529,1.75,2,3.917
"going",108288,8238,106853,8235,2123.29,5.0346,98.21,3.9159,5,590.637691888151,877.843137254902,1.85,2,3.9159
"could",83109,8233,75735,8207,1629.59,4.9197,98.15,3.9156,5,563.738647005612,792.513725490196,1.7,2,3.9156
"never",69490,8158,61882,8103,1362.55,4.8419,97.26,3.9116,5,485.007394178837,749.666666666667,1.7,5,3.9116
"thing",55522,8058,55245,8057,1088.67,4.7445,96.07,3.9063,5,578.78045135286,837.309803921569,1.45,6,3.9063
"doing",52492,7954,51900,7950,1029.25,4.7201,94.83,3.9006,5,563.587056030009,867.811764705882,1.55,3,3.9006
"sorry",59566,7923,43411,7595,1167.96,4.775,94.46,3.8989,5,542.50437185729,759.396078431373,1.8,3,3.8989
"first",42869,7861,36848,7681,840.57,4.6322,93.72,3.8955,5,567.408942586531,718.698039215686,1.8,1,3.8955
"again",40428,7852,39144,7815,792.71,4.6067,93.61,3.895,5,547.938297150609,829.117647058824,1.9,0,3.895
"these",46104,7850,37499,7628,904,4.6637,93.59,3.8949,5,489.109595737887,811.247058823529,1.75,3,3.8949
"still",40225,7811,36992,7748,788.73,4.6045,93.12,3.8928,5,647.214870167876,693.419607843137,1.5,6,3.8928
"Thank",56877,7790,13010,5332,1115.24,4.7549,92.87,3.8916,5,582.359116848909,895.592156862745,1.9,1,3.8916
"other",37505,7738,36688,7709,735.39,4.5741,92.25,3.8887,5,515.252275387766,784.654901960784,1.65,3,3.8887
"Maybe",47249,7737,18779,6368,926.45,4.6744,92.24,3.8886,5,604.878819139595,934.564705882353,2,0,3.8886
"those",38404,7712,32649,7540,753.02,4.5844,91.94,3.8872,5,496.67622648788,808.603921568627,1.75,3,3.8872
"after",34812,7645,27459,7337,682.59,4.5417,91.14,3.8834,5,532.497570303561,759.207843137255,1.8,2,3.8834
"doesn",32435,7549,29651,7420,635.98,4.511,90,3.8779,5,480.022141298852,844.654901960784,1.85,1,3.8779
"great",41864,7462,32689,7094,820.86,4.6219,88.96,3.8729,5,546.465148189533,813.105882352941,1.75,4,3.8729
"night",44168,7381,42911,7343,866.04,4.6451,87.99,3.8682,5,583.837259557824,837.309803921569,1.3,11,3.8682
"place",30736,7279,30163,7246,602.67,4.4877,86.78,3.8621,5,546.226584324366,815.160784313725,1.45,4,3.8621
"wrong",26678,7245,25814,7184,523.1,4.4262,86.37,3.8601,5,571.531985127835,850.462745098039,1.8,3,3.8601
"every",28007,7209,22413,6795,549.16,4.4473,85.94,3.8579,5,571.117577220847,764.796078431373,1.85,1,3.8579
"their",33413,7190,31842,7138,655.16,4.5239,85.72,3.8568,5,547.134787958601,752.364705882353,1.85,0,3.8568
"leave",28596,7185,24226,6947,560.71,4.4563,85.66,3.8565,5,538.210186367626,749.337254901961,1.5,4,3.8565
"might",26334,7121,25113,7061,516.35,4.4205,84.9,3.8526,5,632.907005746666,882.588235294118,1.45,10,3.8526
